"","Overall"
"morph_polarity_unknown",0.0621612034307894
"morph_pron_type_art",0.119662567866597
"morph_pron_type_prs",0.0833128439595935
"morph_pron_type_unknown",0.0644968253537498
"morph_tense_past",0.04767553937008
"morph_tense_pres",0.155172861374101
"morph_tense_unknown",0.119105931492564
"morph_verb_form_fin",0.119644743972909
"morph_verb_form_part",0.14521408865416
"morph_verb_form_unknown",0.114356198015615
"noun_ratio",0.121807327510175
"nv_ratio",0.100937824868522
"pause_word_ratio",0.169434133310332
"phonation_rate",0.0749896426038247
"pos_ADJ",0.0487139639450589
"pos_ADP",0.0744315018315019
"pos_ADV",0.159144855555377
"pos_AUX",0.14181791677161
"pos_CCONJ",0.0651607627126424
"pos_DET",0.107868743519941
"pos_NOUN",0.0459045768146072
"pos_PART",0.0679174053811317
"pos_PRON",0.0902966179228957
"pos_PROPN",0.0161163505734934
"pos_VERB",0.0674060559741495
"propositional_density_ratio_propositions",0.151550199280967
"prp_ratio",0.139647029035344
"sentiment_arousal",0.152367962838502
"sentiment_dominance",0.10793860406056
"sentiment_valence",0.134914335802935
"short_pause_count_normalized",0.100365152906941
"short_pause_duration",0.0764403003618214
"speech_rate",0.195102870574496
"sub_coord_ratio",0.0662267603571951
"tag_CC",0.0665039820461501
"tag_DT",0.108781730500619
"tag_IN",0.105690428610534
"tag_JJ",0.0690963745527655
"tag_NN",0.120168860473672
"tag_NNP",0.0128785369220152
"tag_PRP",0.0662511593487345
"tag_RB",0.121638311248462
"tag_VBD",0.0494840546636372
"tag_VBG",0.150225521298116
"tag_VBP",0.129196209027317
"temporal_cohesion_avg_switches_in_tense",0.0505283408041009
"total_duration_audio",0.137513170751632
"total_duration_speech",0.0550049182786025
"total_words",0.0938127909048648
"unfilled_pauses",0.113744732618401
"zcr_kurtosis",0.149525372626732
"zcr_mean",0.126444022669707
"zcr_skewness",0.124388233403984
"zcr_var",0.176955172501159
"testing_locationremote",0.13036057850391
